"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol"
"ENSG00000152583",997.444732611474,-4.60255416844116,0.211741942798185,-21.7366200933933,9.24620377139892e-105,1.66265236217295e-100,"SPARCL1"
"ENSG00000148175",11193.7231981539,-1.45149341858215,0.0848957782213641,-17.0973568885535,1.55288948986467e-65,1.39620294033732e-61,"STOM"
"ENSG00000179094",776.600164098613,-3.18388226766928,0.201509405820171,-15.8001670180627,3.10293396520848e-56,1.85989861874596e-52,"PER1"
"ENSG00000134686",2737.98162586977,-1.38716794928781,0.0916586972986666,-15.1340569980803,9.65548205615568e-52,4.34062195834479e-48,"PHC2"
"ENSG00000125148",3656.26740037453,-2.20346802972158,0.147419126734357,-14.9469616225047,1.6301912754245e-50,5.86281990293666e-47,"MT2A"
"ENSG00000120129",3409.03835490143,-2.94901236347191,0.201546443448755,-14.6319245976758,1.75744508912849e-48,5.2670629321181e-45,"DUSP1"
"ENSG00000189221",2341.78067569054,-3.30522682576948,0.228030723768492,-14.4946556812455,1.30957407705638e-47,3.36410872194683e-44,"MAOA"
"ENSG00000109906",385.071327676389,-7.1761482399982,0.496359319058986,-14.457567259144,2.24596717467564e-47,5.04837271687716e-44,"ZBTB16"
"ENSG00000178695",2649.82251474546,2.49988338912015,0.178903480029141,13.9733636747198,2.26663440119389e-44,4.5287355335854e-41,"KCTD12"
"ENSG00000101347",12703.4128252398,-3.85774922840868,0.27932476932553,-13.8109815242084,2.18829483431033e-43,3.93499177105683e-40,"SAMHD1"
